num_leaves	min_data_in_leaf	lambda_l2	learning_rate	num_iterations	feature_fraction	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations
2583	3	1.6265921337433	0.0373501030456391	3625	0.089941639526016	0.943730348325567	22			197.772	-0.000677767483697292		0.0460000000002765	infill_ei	0.748999999999796	0.00146865342641876	0.943152674068942	2488
7094	22	0.451348326230602	0.015261848351222	2032	0.241792160558873	0.943087128891814	59			222.477000000001	-0.000300230971023116		0.207000000000335	infill_ei	0.888999999999214	0.00340978103404281	0.940420082766038	1346
5366	10	1.56778793321337	0.0414914772386205	3677	0.0532696069399835	0.942977299636915	13			163.493	-0.0016965798946767		0.0999999999999091	infill_ei	0.731000000000222	0.0015929489875315	0.943285507131011	3676
1426	9	0.524064857095334	0.0369184188584971	3779	0.0555267274795355	0.942567641150288	28			166.703	-0.00243805023988757		0.0380000000004657	infill_ei	0.766000000000531	0.00178633770570802	0.946090689569147	3386
3982	2	0.273966843478114	0.0246832749026784	3823	0.0750884456418836	0.942129946081714	15			207.756	-0.0010233127532153		0.228000000000066	infill_ei	0.721000000000458	0.00110219081239238	0.943870536866563	3209
5993	4	4.09533399627027	0.0308591301515425	4551	0.105635864391004	0.941982348538738	16			258.01	-0.00090433494489877		0.0579999999999927	infill_ei	0.721999999999753	0.00246282027442339	0.942816749316262	1585
8100	9	0.571921858365275	0.0373415592902293	1999	0.215985824400272	0.941947824152704	54			128.003000000001	-0.000185474413320068		0.0969999999997526	infill_ei	0.864999999999782	0.00385184816367901	0.938824944381492	562
3050	17	0.299126624178268	0.0311447953056545	3619	0.0906390084792544	0.94193508025182	24			175.695	-0.00180061159196118		0.0610000000006039	infill_ei	0.757999999999811	0.00104987534343113	0.945511601941174	1319
2835	10	0.236117732043604	0.0392637595678483	4260	0.167079444011207	0.941727238813751	6			208.187	-0.000710728406358564		0.0280000000002474	infill_ei	0.691000000000258	0.0014536063257034	0.940999023277702	1155
7280	36	0.899939894318701	0.0359845498263893	4004	0.0912222934433209	0.941599799804903	14			181.672	-0.000504683925132813		0.213999999999942	infill_ei	0.708999999999833	0.00114168533499053	0.943072564953469	2225
3092	4	1.35240928694561	0.0255069011319468	4525	0.248592412136116	0.941513141278885	46			298.827000000001	-0.000579415903201642		0.0789999999997235	infill_ei	0.835000000000946	0.00301090695545336	0.942172085400566	794
3155	6	0.118399438806137	0.050401871149965	4012	0.0567728493350502	0.941469348601299	7			156.582	-0.000381127218793084		0.0639999999998508	infill_ei	0.674999999999727	0.000885120328890546	0.941781922063148	3306
5339	2	4.44615036207765	0.03554857567384	2218	0.199212082651014	0.940851616969315	57			169.148999999999	-0.000440402678686419		0.0859999999993306	infill_ei	0.861000000000786	0.00336994859012195	0.941195714808213	1060
6040	3	0.137523221840588	0.0168338015292573	1602	0.0754596487318764	0.940767043808897	26			114.974999999999	-0.000481588750842235		0.0720000000001164	infill_ei	0.760000000000218	0.00335480319127252	0.94139129544751	1602
2049	250	1.66600968029473	0.0599357487240464	3859	0.408065859164987	0.940753836493435	1			180.551	-0.00192185699988438		0.224999999999909	infill_ei	0.663999999999987	0.00201508314149038	0.934267768116312	378
5238	7	4.19536664470011	0.0408133239383304	3140	0.0856205976770307	0.940185458513968	39			160.746999999999	-0.00149332613136389		0.091999999998734	infill_ei	0.806000000000495	0.00200887417816411	0.944865045919405	2937
5497	15	13.8077176416351	0.0198389472199732	4294	0.105638773823126	0.940007739023446	35			219.063	-0.000909231745112589		0.0510000000003856	infill_ei	0.791999999999462	0.00370876938721411	0.942401780321868	3790
1833	5	0.279681363558946	0.0282076797525266	3734	0.179667328064365	0.939796653683335	23			210.711	-0.000658126844445256		0.0460000000002765	infill_ei	0.738000000000284	0.00145117693706517	0.943882381837644	768
5504	95	13.6468715536198	0.0406733901605651	4238	0.284388395947241	0.939724129301936	55			205.174999999999	-0.000147399498526999		0.28400000000147	infill_ei	0.863000000001193	0.00345424935418507	0.939135137389076	523
859	547	0.161751046925634	0.0496241497208993	3604	0.225457721538509	0.939693312232523	3			131.134	-0.00052088809290273		0.0290000000004511	infill_ei	0.666000000000167	0.0014700700229242	0.940617635908109	615
8064	3	1.04512759914974	0.028124217159375	4630	0.214148891206765	0.939647434189337	48			296.318000000001	-0.00132858151873222		0.0789999999997235	infill_ei	0.846999999999753	0.00353138345404238	0.943566855888817	1340
7900	59	0.197614652051789	0.030896801906905	4168	0.0578230934067366	0.939631678093698	50			173.208000000001	-0.0006420075699837		0.0940000000009604	infill_ei	0.851000000000568	0.00284954442756965	0.942547706024353	1925
4793	38	0.551358024868319	0.0347235058308566	4310	0.0505154672979951	0.939608739072105	19			173.061000000001	-0.00132720843027274		0.043999999999869	infill_ei	0.731000000000677	0.00267866549605046	0.943459862524569	3421
7610	7	2.68920817337539	0.0187851449279107	1314	0.0641923045180063	0.939529263472041	53			79.0339999999997	-0.000430437413423435		0.266999999999825	infill_ei	0.85399999999936	0.00275814864391834	0.941944897607602	1279
3926	15	2.50592203848774	0.0555197215547417	4784	0.132263856259406	0.93940228787777	40			231.116	-0.000360860610201844		0.135000000000218	infill_ei	0.807000000000699	0.00404900248164019	0.939825601274122	1331
3022	2	2.80796094755003	0.0543339324621772	4170	0.38158465816726	0.939199312292767	10			302.994	-0.00156196665640422		0.207999999999629	infill_ei	0.701000000000022	0.0017202572491673	0.943076689329655	590
3413	3	8.30162609519274	0.043417399097069	3607	0.120245529965008	0.939087397672269	25			213.955999999999	-0.000393462189504612		0.186999999999898	infill_ei	0.747000000000298	0.00072755796577802	0.94391763710868	2024
7194	123	2.4954411655643	0.0409670702544488	2794	0.195543270296308	0.938899019646461	49			126.239	-0.000721822461818671		0.118000000000393	infill_ei	0.836999999999534	0.00313702250452027	0.942472434306511	1228
1328	216	0.767421464261521	0.0642943845589504	3610	0.642219391847427	0.938885348916421	5			163.595	-0.0002979391247962		0.0380000000000109	infill_ei	0.669999999999618	0.00117197361237491	0.940363127483547	314
8183	9	19.5053954940797	0.0380668260280199	4004	0.613091008916864	0.938771348930323	52			311.640000000001	-0.000239528288781248		0.102000000000771	infill_ei	0.859000000000378	0.0041135088760368	0.938869023007337	575
4612	7	12.1520671347565	0.0275898735427592	2825	0.157352455366726	0.938635800166366	21			172.762	-0.000505138177779978		0.0460000000002765	infill_ei	0.740999999999985	0.00221568878628102	0.942075168678113	1929
2311	17	0.0227027032395712	0.0589778511832862	2428	0.351821135412592	0.938602202609487	4			110.74	-0.000530015670028993		0.0259999999998399	infill_ei	0.68100000000004	0.00179474187037593	0.940344849574427	317
